eto_ofr_display_id,eto_ofr_mcat_id,fk_glusr_usr_id,eto_ofr_approv_date_orig
148560248159,98989,262969802,29/07/26 06:48
148562653959,2365,224159766,29/07/26 06:48
148560463659,230256,272448668,29/07/26 06:48
148562602263,42102,236363961,29/07/26 06:48
148560389552,78843,249174488,29/07/26 06:48
148560325059,135647,220182058,29/07/26 06:48
148560474767,127389,226057906,29/07/26 06:48
148560471646,27437,272448684,29/07/26 06:48
148560545046,177133,220135165,29/07/26 06:48
148560324967,102073,245364341,29/07/26 06:48
148560145846,2252,272448388,29/07/26 06:48
148560391885,443138,266621696,29/07/26 06:48
148560137163,167580,271849433,29/07/26 06:48
148560306863,35735,272214249,29/07/26 06:48
148560327375,85000,258300692,29/07/26 06:48
148560312234,29944,271740595,29/07/26 06:48
148560466759,12128,123038308,29/07/26 06:48
148560240552,111965,272448485,29/07/26 06:48
148560388752,443954,272332410,29/07/26 06:48
148560437459,126362,227915297,29/07/26 06:48
148560474346,152121,248887664,29/07/26 06:48
148560122695,184123,272448393,29/07/26 06:48
148560136867,180203,267297840,29/07/26 06:48
148560115675,68910,270446951,29/07/26 06:48
148560140259,2498,270434818,29/07/26 06:48
148560476952,33628,204130762,29/07/26 06:48
148560232913,122454,226629888,29/07/26 06:48
148560396185,56268,269709305,29/07/26 06:48
148560141975,10543,257251315,29/07/26 06:48
148560239513,40042,240896381,29/07/26 06:48
148560144975,187183,250805125,29/07/26 06:48
148560380813,73989,255600504,29/07/26 06:48
148560226259,55993,237245543,29/07/26 06:48
148560183559,15677,246469459,29/07/26 06:48
148560204434,10289,244169683,29/07/26 06:48
148560299585,15842,265847552,29/07/26 06:48
148560383652,205235,251071946,29/07/26 06:48
148560471046,10363,239390076,29/07/26 06:48
148560385959,1404,221821978,29/07/26 06:48
148560197475,225913,252959775,29/07/26 06:48
148560379285,111983,232714951,29/07/26 06:48
148562654446,69007,262817996,29/07/26 06:48
148560133113,187415,272448384,29/07/26 06:48
148560312559,95651,272448441,29/07/26 06:48
148560117967,187712,262138278,29/07/26 06:48
148560385334,49963,244392265,29/07/26 06:48
148560146334,9564,240381869,29/07/26 06:48
148560242067,36201,237651452,29/07/26 06:48
148560243159,5641,238190786,29/07/26 06:48
148560130075,164844,258406223,29/07/26 06:48
148560241834,650585,227423331,29/07/26 06:48
148560288763,3212,269379149,29/07/26 06:48
148562398213,445774,214689233,29/07/26 06:48
148560300263,22945,241033978,29/07/26 06:48
148562396946,24750,272450713,29/07/26 06:48
148560229467,28880,265032896,29/07/26 06:48
148560228313,443594,243827543,29/07/26 06:48
148560312763,5173,236204880,29/07/26 06:48
148560300375,162712,272399472,29/07/26 06:48
148560381252,64882,272059893,29/07/26 06:48
148560391463,445988,257361676,29/07/26 06:48
148560190395,5350,227784369,29/07/26 06:48
148560294813,8731,254248211,29/07/26 06:48
148560235475,4486,264950976,29/07/26 06:48
148560245367,78263,271993814,29/07/26 06:48
148560380363,65454,253630241,29/07/26 06:48
148560140175,182261,269497627,29/07/26 06:48
148562399385,147,194428411,29/07/26 06:48
148562513759,190067,74168171,29/07/26 06:48
148560305667,177708,224366053,29/07/26 06:48
148560322459,160960,226255187,29/07/26 06:48
148562597595,117959,6469505,29/07/26 06:48
148562655067,41640,87221188,29/07/26 06:48
148562517234,140291,81682317,29/07/26 06:48
148560320859,178199,269361973,29/07/26 06:48
148560393163,656561,268130212,29/07/26 06:48
148560116159,114286,272448394,29/07/26 06:48
148560220985,33617,227057429,29/07/26 06:48
148560239375,183235,221250666,29/07/26 06:48
148562514495,108093,56255662,29/07/26 06:48
148560147363,38132,223853719,29/07/26 06:48
148562515467,1262,225660227,29/07/26 06:48
148560118434,17205,216964429,29/07/26 06:48
148562511685,95981,272450748,29/07/26 06:48
148560245667,193149,238479771,29/07/26 06:48
148560390259,106134,250192396,29/07/26 06:48
148560121634,163764,225294222,29/07/26 06:48
148560388295,31318,219070870,29/07/26 06:48
148560383875,184604,254892632,29/07/26 06:48
148560240213,161340,272448498,29/07/26 06:48
148562513563,2218,272450830,29/07/26 06:48
148560387013,55287,226450103,29/07/26 06:48
148560302634,159723,264431649,29/07/26 06:48
148560326952,31020,224779253,29/07/26 06:48
148560394385,656254,263310139,29/07/26 06:48
148560224363,189643,222867541,29/07/26 06:48
